System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:32:30:512, 295550035605710,    0.112,    8.000, 3900,  21.802,   2.436,   0.677,  19.824,   2.215,   0.615, 63,  0,   0.795,   0.089,   0.025,   0.278,   0.031,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:30:627, 295550290223664,    0.227,    8.000, 4000,  22.552,   5.036,   1.399,  19.818,   4.500,   1.250, 66,  0,   0.701,   0.170,   0.047,   0.000,   0.031,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:30:737, 295550533937016,    0.337,   18.000, 3900,  30.701,   8.425,   2.340,  24.804,   7.238,   2.010, 66,  0,   0.857,   0.264,   0.073,   0.283,   0.062,   0.017,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:31:237, 295551638042690,    0.837,   10.000, 3900,  35.650,  26.251,   7.292,  26.232,  20.355,   5.654, 66,  0,   0.849,   0.689,   0.191,   0.116,   0.120,   0.033,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:31:394, 295551983347426,    0.994,    4.000, 4000,  18.650,  29.168,   8.102,  13.923,  22.532,   6.259, 53,  0,   0.716,   0.801,   0.222,   0.068,   0.131,   0.036,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:31:503, 295552224544973,    1.103,    1.000, 4000,   7.747,  30.014,   8.337,   6.294,  23.220,   6.450, 52,  0,   0.683,   0.875,   0.243,   0.000,   0.131,   0.036,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:31:612, 295552465970976,    1.212,    1.000, 4000,   7.083,  30.789,   8.552,   5.552,  23.827,   6.619, 51,  0,   0.581,   0.939,   0.261,   0.000,   0.131,   0.036,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:31:723, 295552710114612,    1.323,    1.000, 4000,   9.375,  31.825,   8.840,   7.810,  24.690,   6.858, 52,  0,   0.728,   1.019,   0.283,   0.000,   0.131,   0.036,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:31:833, 295552953024594,    1.433,    1.000, 4000,   9.130,  32.830,   9.119,   7.623,  25.529,   7.091, 51,  0,   0.670,   1.093,   0.304,   0.000,   0.131,   0.036,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:32:31:942, 295553194224878,    1.542,    2.000, 4000,   8.832,  33.795,   9.387,   7.260,  26.322,   7.312, 57,  0,   0.641,   1.163,   0.323,   0.000,   0.131,   0.036,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
