System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:43:18:790, 296981438071514,    0.110,   10.000, 3900,  23.337,   2.566,   0.713,  21.278,   2.340,   0.650, 70,  0,   0.878,   0.096,   0.027,   0.293,   0.032,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:18:899, 296981679540708,    0.219,    8.000, 4000,  21.653,   4.934,   1.371,  20.066,   4.534,   1.259, 70,  0,   0.709,   0.174,   0.048,   0.000,   0.032,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:009, 296981921214911,    0.329,    9.000, 3900,  25.395,   7.714,   2.143,  23.546,   7.111,   1.975, 66,  0,   0.791,   0.261,   0.072,   0.120,   0.045,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:118, 296982162558634,    0.438,   18.000, 3900,  31.021,  11.104,   3.085,  29.388,  10.323,   2.868, 68,  0,   0.994,   0.369,   0.103,   0.090,   0.055,   0.015,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:228, 296982404156637,    0.547,   13.000, 3900,  29.486,  14.331,   3.981,  27.333,  13.314,   3.698, 61,  0,   0.974,   0.476,   0.132,   0.098,   0.066,   0.018,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:353, 296982680196202,    0.673,   10.000, 3900,  23.852,  17.313,   4.809,  21.811,  16.041,   4.456, 65,  0,   0.994,   0.600,   0.167,   0.289,   0.102,   0.028,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:462, 296982921612621,    0.782,    9.000, 3900,  20.883,  19.596,   5.443,  18.985,  18.117,   5.032, 67,  0,   0.933,   0.702,   0.195,   0.231,   0.127,   0.035,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:587, 296983197970939,    0.907,    9.000, 3900,  21.140,  22.242,   6.178,  19.069,  20.503,   5.695, 57,  0,   0.892,   0.814,   0.226,   0.337,   0.170,   0.047,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:697, 296983440325092,    1.017,    2.000, 3900,   8.330,  23.156,   6.432,   6.354,  21.201,   5.889, 54,  0,   0.805,   0.902,   0.251,   0.453,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:43:19:806, 296983681069150,    1.126,    1.000, 3900,   5.807,  23.789,   6.608,   4.263,  21.666,   6.018, 53,  0,   0.766,   0.986,   0.274,   0.081,   0.228,   0.063,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
