System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:11:29:580, 292765889543682,    0.116,   10.000, 3400,  15.703,   1.819,   0.505,  13.728,   1.590,   0.442, 64,  0,   0.838,   0.097,   0.027,   0.258,   0.030,   0.008,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:29:689, 292766131091108,    0.225,    8.000, 3400,  14.243,   3.377,   0.938,  12.542,   2.962,   0.823, 64,  0,   0.711,   0.175,   0.049,   0.000,   0.030,   0.008,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:29:798, 292766372559614,    0.335,    8.000, 3500,  14.701,   4.985,   1.385,  13.167,   4.402,   1.223, 64,  0,   0.670,   0.248,   0.069,   0.000,   0.030,   0.008,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:29:908, 292766614134122,    0.444,   16.000, 3300,  20.577,   7.236,   2.010,  18.263,   6.401,   1.778, 61,  0,   1.084,   0.367,   0.102,   0.464,   0.081,   0.022,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:30:017, 292766855632958,    0.553,   18.000, 3000,  18.282,   9.236,   2.566,  16.521,   8.208,   2.280, 62,  0,   0.969,   0.473,   0.131,   0.109,   0.093,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:30:158, 292767166057238,    0.694,   11.000, 3100,  12.797,  11.035,   3.065,  11.053,   9.761,   2.712, 62,  0,   0.823,   0.588,   0.163,   0.000,   0.093,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:30:267, 292767407612290,    0.803,    6.000, 3300,   9.184,  12.040,   3.344,   7.210,  10.550,   2.931, 58,  0,   0.881,   0.685,   0.190,   0.329,   0.129,   0.036,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:30:392, 292767684485876,    0.929,    3.000, 3600,   8.399,  13.093,   3.637,   6.509,  11.366,   3.157, 55,  0,   0.848,   0.791,   0.220,   0.239,   0.159,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:30:502, 292767925920382,    1.038,    1.000, 4000,   6.188,  13.770,   3.825,   4.512,  11.860,   3.294, 55,  0,   0.773,   0.876,   0.243,   0.219,   0.182,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:11:30:611, 292768167849888,    1.148,    1.000, 4000,   5.086,  14.327,   3.980,   3.709,  12.266,   3.407, 53,  0,   0.676,   0.950,   0.264,   0.000,   0.182,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
