System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:20:06:744, 301856614100316,    0.110,    8.000, 4000,  22.173,   2.447,   0.680,  19.961,   2.203,   0.612, 66,  0,   0.850,   0.094,   0.026,   0.392,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:06:853, 301856855541036,    0.220,    8.000, 4000,  21.659,   4.815,   1.338,  20.113,   4.402,   1.223, 67,  0,   0.695,   0.170,   0.047,   0.000,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:06:963, 301857097061675,    0.329,   10.000, 3900,  24.913,   7.540,   2.094,  23.017,   6.920,   1.922, 65,  0,   0.862,   0.264,   0.073,   0.366,   0.083,   0.023,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:072, 301857338525104,    0.438,   16.000, 3900,  32.249,  11.067,   3.074,  30.430,  10.247,   2.846, 66,  0,   0.980,   0.371,   0.103,   0.000,   0.083,   0.023,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:197, 301857614630696,    0.563,   12.000, 3900,  25.423,  14.246,   3.957,  23.563,  13.194,   3.665, 65,  0,   0.922,   0.487,   0.135,   0.130,   0.099,   0.028,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:322, 301857891007870,    0.689,    7.000, 3900,  18.829,  16.603,   4.612,  16.851,  15.303,   4.251, 53,  0,   0.942,   0.604,   0.168,   0.331,   0.141,   0.039,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:322, 301857892104776,    0.689,    6.000, 3900,   0.000,  16.603,   4.612,  15.358,  15.311,   4.253, 53,  0,   0.000,   0.604,   0.168,   0.000,   0.141,   0.039,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.689148
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 16.602844
Cumulative Processor Energy_0 (mWh) = 4.611901
Average Processor Power_0 (Watt) = 24.091840

Cumulative IA Energy_0 (Joules) = 15.310730
Cumulative IA Energy_0 (mWh) = 4.252981
Average IA Power_0 (Watt) = 22.216895

Cumulative DRAM Energy_0 (Joules) = 0.604431
Cumulative DRAM Energy_0 (mWh) = 0.167898
Average DRAM Power_0 (Watt) = 0.877070

Cumulative GT Energy_0 (Joules) = 0.140930
Cumulative GT Energy_0 (mWh) = 0.039147
Average GT Power_0 (Watt) = 0.204499
