System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:20:07:463, 301858201140696,    0.106,    9.000, 3900,  22.272,   2.365,   0.657,  20.106,   2.135,   0.593, 67,  0,   0.878,   0.093,   0.026,   0.504,   0.053,   0.015,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:572, 301858442565852,    0.216,   10.000, 4000,  23.649,   4.951,   1.375,  22.024,   4.543,   1.262, 67,  0,   0.799,   0.181,   0.050,   0.123,   0.067,   0.019,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:682, 301858683996478,    0.325,   16.000, 3900,  32.065,   8.457,   2.349,  29.831,   7.805,   2.168, 66,  0,   1.022,   0.292,   0.081,   0.328,   0.103,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:791, 301858925587770,    0.434,   17.000, 3900,  31.731,  11.929,   3.313,  29.620,  11.046,   3.068, 66,  0,   1.118,   0.415,   0.115,   0.454,   0.152,   0.042,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:07:916, 301859201594120,    0.559,   14.000, 3900,  27.740,  15.396,   4.277,  25.768,  14.267,   3.963, 64,  0,   1.000,   0.540,   0.150,   0.145,   0.170,   0.047,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:08:041, 301859477757353,    0.684,    8.000, 4000,  20.612,  17.974,   4.993,  18.575,  16.590,   4.608, 55,  0,   0.901,   0.652,   0.181,   0.260,   0.203,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:20:08:041, 301859479710248,    0.685,    6.000, 4000,  12.491,  17.985,   4.996,  29.191,  16.616,   4.615, 55,  0,   1.242,   0.654,   0.182,   0.000,   0.203,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.685231
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 17.985168
Cumulative Processor Energy_0 (mWh) = 4.995880
Average Processor Power_0 (Watt) = 26.246855

Cumulative IA Energy_0 (Joules) = 16.615723
Cumulative IA Energy_0 (mWh) = 4.615479
Average IA Power_0 (Watt) = 24.248339

Cumulative DRAM Energy_0 (Joules) = 0.653503
Cumulative DRAM Energy_0 (mWh) = 0.181529
Average DRAM Power_0 (Watt) = 0.953697

Cumulative GT Energy_0 (Joules) = 0.203003
Cumulative GT Energy_0 (mWh) = 0.056390
Average GT Power_0 (Watt) = 0.296255
