System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:10:59:097, 121611435691992,    0.108,   10.000, 3900,  25.569,   2.757,   0.766,  22.369,   2.412,   0.670, 70,  0,   0.842,   0.091,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:207, 121611678436146,    0.218,    9.000, 3900,  22.198,   5.197,   1.444,  20.497,   4.665,   1.296, 72,  0,   0.761,   0.174,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:319, 121611925869472,    0.330,   10.000, 3900,  23.580,   7.840,   2.178,  21.908,   7.120,   1.978, 72,  0,   0.752,   0.259,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:430, 121612170876736,    0.441,   21.000, 3900,  37.091,  11.955,   3.321,  35.101,  11.015,   3.060, 71,  0,   1.296,   0.403,   0.112,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:541, 121612416048322,    0.552,   32.000, 3900,  47.830,  17.266,   4.796,  45.748,  16.095,   4.471, 76,  0,   1.332,   0.550,   0.153,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:666, 121612692227228,    0.677,   13.000, 3900,  28.136,  20.785,   5.774,  26.321,  19.387,   5.385, 75,  0,   0.929,   0.667,   0.185,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:773, 121612929700144,    0.784,    7.000, 3900,  17.687,  22.688,   6.302,  15.494,  21.053,   5.848, 60,  0,   0.906,   0.764,   0.212,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:882, 121613170012132,    0.893,    2.000, 3900,   7.673,  23.523,   6.534,   6.149,  21.723,   6.034, 57,  0,   0.824,   0.854,   0.237,  45.000,  60.000, 130.000,   0.000,   0.000
10:10:59:990, 121613408488012,    1.001,    2.000, 3900,   9.112,  24.507,   6.807,   7.181,  22.498,   6.250, 57,  0,   0.845,   0.945,   0.263,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:098, 121613645833075,    1.109,    3.000, 4000,  16.533,  26.284,   7.301,   9.840,  23.556,   6.543, 58,  0,   0.730,   1.024,   0.284,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:205, 121613882563040,    1.216,    0.000, 3900,  12.274,  27.600,   7.667,   5.423,  24.137,   6.705, 59,  0,   0.583,   1.086,   0.302,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:314, 121614122388056,    1.325,    1.000, 4000,  13.243,  29.039,   8.066,   6.343,  24.826,   6.896, 59,  0,   0.602,   1.151,   0.320,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:421, 121614359029578,    1.432,    2.000, 3800,  15.665,  30.717,   8.533,   8.794,  25.769,   7.158, 60,  0,   0.613,   1.217,   0.338,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:530, 121614600016467,    1.541,    2.000, 3700,  14.745,  32.327,   8.980,   7.790,  26.619,   7.394, 60,  0,   0.664,   1.290,   0.358,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:639, 121614840128400,    1.650,    0.000, 3900,  13.113,  33.753,   9.376,   6.218,  27.295,   7.582, 60,  0,   0.588,   1.354,   0.376,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:747, 121615079360758,    1.758,    1.000, 3900,  12.447,  35.101,   9.750,   5.989,  27.944,   7.762, 58,  0,   0.593,   1.418,   0.394,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:855, 121615318110088,    1.866,    0.000, 3900,   9.584,  36.137,  10.038,   5.524,  28.542,   7.928, 57,  0,   0.588,   1.481,   0.412,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:00:962, 121615555181116,    1.974,    1.000, 3900,  10.904,  37.308,  10.363,   6.778,  29.269,   8.130, 61,  0,   0.656,   1.552,   0.431,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:072, 121615797062751,    2.083,    5.000, 3900,  17.285,  39.202,  10.889,  13.063,  30.700,   8.528, 57,  0,   0.730,   1.632,   0.453,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:180, 121616035495456,    2.191,    0.000, 4000,   8.210,  40.088,  11.136,   4.220,  31.156,   8.654, 56,  0,   0.568,   1.693,   0.470,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:288, 121616274195027,    2.299,    0.000, 3900,   8.122,  40.966,  11.380,   4.124,  31.602,   8.778, 56,  0,   0.566,   1.754,   0.487,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:396, 121616513283460,    2.407,    0.000, 4000,   8.542,  41.891,  11.636,   4.517,  32.091,   8.914, 56,  0,   0.572,   1.816,   0.505,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:506, 121616755172808,    2.517,    4.000, 3900,  12.192,  43.227,  12.007,   9.117,  33.090,   9.192, 64,  0,   0.693,   1.892,   0.526,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:616, 121616998561515,    2.627,   15.000, 3900,  31.546,  46.704,  12.973,  29.534,  36.345,  10.096, 63,  0,   0.991,   2.001,   0.556,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:728, 121617245841541,    2.739,   61.000, 3000,  50.763,  52.389,  14.553,  47.302,  41.643,  11.567, 75,  0,   1.815,   2.205,   0.612,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:838, 121617488687070,    2.849,   57.000, 3300,  59.581,  58.942,  16.373,  56.672,  47.876,  13.299, 79,  0,   2.201,   2.447,   0.680,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:01:981, 121617804790048,    2.992,   24.000, 3900,  41.035,  64.817,  18.005,  37.343,  53.222,  14.784, 71,  0,   1.198,   2.618,   0.727,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:091, 121618047446224,    3.102,   16.000, 3900,  30.912,  68.214,  18.948,  29.266,  56.438,  15.677, 75,  0,   1.086,   2.738,   0.760,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:202, 121618291081407,    3.213,    3.000, 3900,   9.392,  69.251,  19.236,   7.572,  57.273,  15.909, 59,  0,   0.736,   2.819,   0.783,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:312, 121618535037022,    3.323,    2.000, 3900,   6.980,  70.022,  19.450,   5.349,  57.865,  16.073, 58,  0,   0.840,   2.912,   0.809,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:423, 121618779636587,    3.434,    2.000, 3900,   6.054,  70.692,  19.637,   4.439,  58.356,  16.210, 57,  0,   0.845,   3.005,   0.835,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:533, 121619021928864,    3.544,    4.000, 3900,  10.354,  71.829,  19.952,   8.726,  59.314,  16.476, 57,  0,   0.807,   3.094,   0.859,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:643, 121619265826912,    3.654,    2.000, 3900,   7.059,  72.608,  20.169,   5.402,  59.911,  16.642, 56,  0,   0.855,   3.188,   0.886,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:753, 121619508254759,    3.764,    3.000, 3900,   7.919,  73.478,  20.411,   6.291,  60.601,  16.834, 56,  0,   0.840,   3.281,   0.911,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:863, 121619750468446,    3.874,    2.000, 3900,   8.040,  74.360,  20.656,   6.360,  61.299,  17.027, 57,  0,   0.885,   3.378,   0.938,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:02:971, 121619990889329,    3.982,    7.000, 3900,  15.547,  76.053,  21.126,  13.858,  62.808,  17.447, 60,  0,   0.890,   3.475,   0.965,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:03:081, 121620232504829,    4.092,   12.000, 3900,  21.116,  78.363,  21.768,  19.323,  64.922,  18.034, 60,  0,   1.055,   3.590,   0.997,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:03:192, 121620477223910,    4.203,    7.000, 3900,  16.925,  80.239,  22.289,  15.178,  66.604,  18.501, 60,  0,   0.987,   3.699,   1.028,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:03:303, 121620722300948,    4.314,   18.000, 3900,  35.163,  84.142,  23.373,  33.389,  70.310,  19.531, 75,  0,   1.141,   3.826,   1.063,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:03:428, 121620998334896,    4.439,   16.000, 3900,  28.490,  87.704,  24.362,  26.740,  73.653,  20.459, 80,  0,   1.033,   3.955,   1.099,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:03:537, 121621239155382,    4.548,   20.000, 3900,  37.873,  91.834,  25.510,  36.017,  77.582,  21.550, 75,  0,   1.041,   4.069,   1.130,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:03:646, 121621479850517,    4.657,   21.000, 3900,  37.629,  95.936,  26.649,  35.801,  81.484,  22.635, 76,  0,   1.248,   4.205,   1.168,  45.000,  60.000, 130.000,   0.000,   0.000
10:11:03:754, 121621719086630,    4.765,   20.000, 3900,  35.530,  99.786,  27.718,  33.646,  85.130,  23.647, 77,  0,   1.254,   4.341,   1.206,  45.000,  60.000, 130.000,   0.000,   0.000
