System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:56:27:359, 127635455331946,    0.111,   19.000, 3300,  22.789,   2.529,   0.702,  20.925,   2.322,   0.645, 65,  0,   0.852,   0.095,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:27:471, 127635702688577,    0.223,   16.000, 3100,  18.356,   4.585,   1.274,  16.670,   4.189,   1.164, 66,  0,   0.753,   0.179,   0.050,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:27:599, 127635985064917,    0.351,   23.000, 2900,  19.511,   7.080,   1.967,  17.822,   6.469,   1.797, 61,  0,   0.792,   0.280,   0.078,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:27:711, 127636232416062,    0.463,   33.000, 2900,  23.328,   9.694,   2.693,  21.317,   8.857,   2.460, 62,  0,   1.140,   0.408,   0.113,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:27:821, 127636475263208,    0.573,   32.000, 2600,  20.092,  11.904,   3.307,  18.185,  10.857,   3.016, 63,  0,   1.196,   0.540,   0.150,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:27:929, 127636713787244,    0.681,   32.000, 2500,  17.940,  13.842,   3.845,  16.062,  12.592,   3.498, 60,  0,   1.035,   0.651,   0.181,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:28:041, 127636961009494,    0.793,   30.000, 2500,  15.793,  15.610,   4.336,  13.999,  14.159,   3.933, 58,  0,   0.952,   0.758,   0.211,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:28:167, 127637239493071,    0.919,   20.000, 2600,  12.055,  17.130,   4.758,  10.130,  15.437,   4.288, 58,  0,   0.805,   0.860,   0.239,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:28:279, 127637486728829,    1.031,   22.000, 2600,  14.676,  18.774,   5.215,  12.257,  16.809,   4.669, 57,  0,   0.944,   0.965,   0.268,  45.000,  60.000, 130.000,   0.000,   0.000
10:56:28:389, 127637729497524,    1.141,   18.000, 2700,  11.916,  20.084,   5.579,  10.155,  17.926,   4.979, 58,  0,   0.764,   1.049,   0.291,  45.000,  60.000, 130.000,   0.000,   0.000
