System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:39:38:793, 125408534451060,    0.106,   14.000, 2900,  13.239,   1.404,   0.390,  10.213,   1.083,   0.301, 61,  0,   0.860,   0.091,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:38:905, 125408781905570,    0.218,   10.000, 3000,  11.093,   2.648,   0.735,   9.432,   2.140,   0.595, 61,  0,   0.724,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:017, 125409029093132,    0.330,    9.000, 3100,  11.233,   3.905,   1.085,   9.567,   3.211,   0.892, 62,  0,   0.710,   0.252,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:129, 125409276419735,    0.442,   12.000, 3100,  13.810,   5.452,   1.514,  11.957,   4.551,   1.264, 62,  0,   0.845,   0.346,   0.096,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:241, 125409523771976,    0.554,   22.000, 3000,  19.567,   7.644,   2.123,  17.696,   6.533,   1.815, 62,  0,   1.202,   0.481,   0.134,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:353, 125409771084803,    0.666,   22.000, 2900,  18.120,   9.674,   2.687,  16.247,   8.353,   2.320, 63,  0,   1.044,   0.598,   0.166,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:481, 125410053703875,    0.794,   13.000, 3000,  12.380,  11.258,   3.127,  10.647,   9.716,   2.699, 62,  0,   0.866,   0.709,   0.197,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:589, 125410292340160,    0.902,    8.000, 3100,  10.786,  12.424,   3.451,   8.980,  10.686,   2.968, 58,  0,   0.772,   0.792,   0.220,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:699, 125410534972272,    1.012,    2.000, 3400,   5.472,  13.025,   3.618,   3.783,  11.102,   3.084, 56,  0,   0.732,   0.873,   0.242,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:808, 125410776388596,    1.121,    2.000, 3600,   6.125,  13.695,   3.804,   4.383,  11.581,   3.217, 55,  0,   0.821,   0.962,   0.267,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:39:916, 125411015655950,    1.230,    1.000, 3900,   4.741,  14.209,   3.947,   3.165,  11.924,   3.312, 55,  0,   0.749,   1.044,   0.290,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:026, 125411258137789,    1.340,    3.000, 3900,   8.720,  15.167,   4.213,   6.959,  12.688,   3.525, 62,  0,   0.845,   1.136,   0.316,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:135, 125411498924256,    1.449,    3.000, 4000,   9.281,  16.179,   4.494,   7.701,  13.528,   3.758, 57,  0,   0.715,   1.214,   0.337,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:246, 125411742735631,    1.559,    1.000, 4000,   5.080,  16.740,   4.650,   3.419,  13.906,   3.863, 56,  0,   0.809,   1.304,   0.362,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:355, 125411983381392,    1.668,    2.000, 4000,   6.747,  17.475,   4.854,   5.033,  14.454,   4.015, 56,  0,   0.908,   1.403,   0.390,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:462, 125412221562539,    1.776,    1.000, 3900,   5.955,  18.117,   5.033,   4.266,  14.914,   4.143, 56,  0,   0.874,   1.497,   0.416,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:571, 125412461840790,    1.885,    1.000, 4000,   4.831,  18.643,   5.179,   3.181,  15.260,   4.239, 56,  0,   0.833,   1.588,   0.441,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:683, 125412707593618,    1.996,   11.000, 3900,  24.798,  21.403,   5.945,  22.955,  17.815,   4.949, 61,  0,   0.889,   1.687,   0.468,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:793, 125412950870865,    2.106,    0.000, 3900,   3.805,  21.822,   6.062,   2.234,  18.062,   5.017, 55,  0,   0.757,   1.770,   0.492,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:40:903, 125413193795262,    2.216,    1.000, 4000,   5.366,  22.412,   6.226,   3.720,  18.471,   5.131, 56,  0,   0.790,   1.857,   0.516,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:41:011, 125413432822135,    2.325,    2.000, 3900,   8.577,  23.341,   6.484,   6.774,  19.204,   5.335, 57,  0,   0.789,   1.942,   0.540,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:41:121, 125413674827930,    2.434,    1.000, 3900,   6.107,  24.010,   6.670,   4.458,  19.693,   5.470, 56,  0,   0.795,   2.029,   0.564,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:41:230, 125413916516528,    2.544,    2.000,  800,   8.409,  24.931,   6.925,   6.577,  20.413,   5.670, 57,  0,   0.820,   2.119,   0.589,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:41:339, 125414156852122,    2.652,    1.000, 3900,   6.565,  25.645,   7.124,   4.861,  20.942,   5.817, 56,  0,   0.832,   2.210,   0.614,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:41:447, 125414395625830,    2.761,    2.000, 4000,  11.729,  26.914,   7.476,   7.066,  21.706,   6.029, 58,  0,   0.690,   2.284,   0.635,  45.000,  60.000, 130.000,   0.000,   0.000
10:39:41:555, 125414633654586,    2.868,    0.000, 3700,  13.172,  28.334,   7.870,   6.294,  22.384,   6.218, 59,  0,   0.584,   2.347,   0.652,  45.000,  60.000, 130.000,   0.000,   0.000
